Wvl_nm	Ref_228K	a0	a1
646	2.61191E-21	-0.084034	0
647	2.56550E-21	-0.084973	0
648	2.52178E-21	-0.08373	0
649	2.47759E-21	-0.086681	0
650	2.44075E-21	-0.078588	0
651	2.40120E-21	-0.079507	0
652	2.36247E-21	-0.082661	0
653	2.32181E-21	-0.078189	0
654	2.28164E-21	-0.080236	0
655	2.24275E-21	-0.081678	0
656	2.20133E-21	-0.083101	0
657	2.16269E-21	-0.085883	0
658	2.12293E-21	-0.087127	0
659	2.08502E-21	-0.087115	0
660	2.04729E-21	-0.084699	0
661	2.01219E-21	-0.085141	0
662	1.97735E-21	-0.094059	0
663	1.94208E-21	-0.094286	0
664	1.90186E-21	-0.089938	0
665	1.86057E-21	-0.097424	0
666	1.81807E-21	-0.09764	0
667	1.77003E-21	-0.098849	0
668	1.72678E-21	-0.10773	0
669	1.68704E-21	-0.11123	0
670	1.65507E-21	-0.11079	0
671	1.61464E-21	-0.12213	0
672	1.57702E-21	-0.11993	0
673	1.53768E-21	-0.12279	0
674	1.50403E-21	-0.13466	0
675	1.46924E-21	-0.14486	0
676	1.43751E-21	-0.13112	0
677	1.40554E-21	-0.13719	0
678	1.37509E-21	-0.15166	0
679	1.34531E-21	-0.14621	0
680	1.32095E-21	-0.1512	0
681	1.30028E-21	-0.16309	0
682	1.28156E-21	-0.15987	0
683	1.26367E-21	-0.15934	0
684	1.24492E-21	-0.16853	0
685	1.22452E-21	-0.17477	0
686	1.20191E-21	-0.16677	0
687	1.17601E-21	-0.17556	0
688	1.14757E-21	-0.17295	0
689	1.11983E-21	-0.1839	0
690	1.09167E-21	-0.19075	0
691	1.06497E-21	-0.19584	0
692	1.03851E-21	-0.19375	0
693	1.01368E-21	-0.1926	0
694	9.87592E-22	-0.21927	0
695	9.62357E-22	-0.22461	0
696	9.37785E-22	-0.22745	0
697	9.14274E-22	-0.21938	0
698	8.90509E-22	-0.2154	0
699	8.68314E-22	-0.22274	0
700	8.48272E-22	-0.22446	0
701	8.29200E-22	-0.22758	0
702	8.11569E-22	-0.21942	0
703	7.95503E-22	-0.2183	0
704	7.80945E-22	-0.21921	0
705	7.67293E-22	-0.21835	0
706	7.55533E-22	-0.22556	0
707	7.43223E-22	-0.22401	0
708	7.32005E-22	-0.19773	0
709	7.20877E-22	-0.20484	0
710	7.10601E-22	-0.19766	0
711	7.01771E-22	-0.19372	0
712	6.94168E-22	-0.17568	0
713	6.87672E-22	-0.17497	0
714	6.82085E-22	-0.17405	0
715	6.76078E-22	-0.14935	0
716	6.66873E-22	-0.15241	0
717	6.54618E-22	-0.15166	0
718	6.39053E-22	-0.14151	0
719	6.20715E-22	-0.15826	0
720	6.01398E-22	-0.17595	0
721	5.82768E-22	-0.18971	0
722	5.64961E-22	-0.19777	0
723	5.49216E-22	-0.20293	0
724	5.34973E-22	-0.20855	0
725	5.22245E-22	-0.20866	0
726	5.09320E-22	-0.20835	0
727	4.95667E-22	-0.21359	0
728	4.79518E-22	-0.21756	0
729	4.68109E-22	-0.21734	0
730	4.56635E-22	-0.22669	0
731	4.46599E-22	-0.22192	0
732	4.36986E-22	-0.21545	0
733	4.29472E-22	-0.20785	0
734	4.23549E-22	-0.20164	0
735	4.19058E-22	-0.20631	0
736	4.14979E-22	-0.21118	0
737	4.11357E-22	-0.21229	0
738	4.07909E-22	-0.20307	0
739	4.05727E-22	-0.19565	0
740	4.04302E-22	-0.18741	0
741	4.04708E-22	-0.16884	0
742	4.05947E-22	-0.15545	0
743	4.08632E-22	-0.14445	0
744	4.11503E-22	-0.13805	0
745	4.15030E-22	-0.12256	0
746	4.16481E-22	-0.11374	0
747	4.15009E-22	-0.10535	0
748	4.10484E-22	-0.1055	0
749	4.01248E-22	-0.11279	0
750	3.86015E-22	-0.12098	0
751	3.68918E-22	-0.1542	0
752	3.50067E-22	-0.18308	0
753	3.32079E-22	-0.21339	0
754	3.14704E-22	-0.23385	0
755	3.01815E-22	-0.24896	0
756	2.91506E-22	-0.25405	0
757	2.82858E-22	-0.2609	0
758	2.75825E-22	-0.25505	0
759	2.70028E-22	-0.25544	0
760	2.64989E-22	-0.26381	0
761	2.61619E-22	-0.27776	0
762	2.61840E-22	-0.25665	0
763	2.55880E-22	-0.26982	0
764	2.52890E-22	-0.22888	0
765	2.52020E-22	-0.20679	0
766	2.47510E-22	-0.23825	0
767	2.46720E-22	-0.25336	0
768	2.48340E-22	-0.22456	0
769	2.49670E-22	-0.20953	0
770	2.52660E-22	-0.18928	0
