wvl_nm	xsec_220K	a(T)
633	1.10320E-20	1.01E-23
634	1.32150E-20	1.43E-23
635	1.12240E-20	1.82E-23
636	1.24150E-20	1.95E-23
637	1.35120E-20	9.68E-24
638	1.35270E-20	1.23E-23
639	1.26440E-20	5.99E-24
640	1.47000E-20	-2.49E-24
641	1.48440E-20	7.56E-24
642	1.80810E-20	1.51E-23
643	2.12720E-20	-1.07E-23
644	1.47960E-20	7.92E-24
645	1.39400E-20	1.85E-23
646	1.82080E-20	1.39E-23
647	2.47600E-20	1.03E-23
648	1.93160E-20	5.29E-24
649	1.05860E-20	7.86E-24
650	1.12100E-20	1.31E-23
651	1.12050E-20	2.85E-23
652	9.54370E-21	2.29E-23
653	8.42460E-21	1.77E-23
654	6.80500E-21	2.23E-23
655	8.09320E-21	1.60E-23
656	8.08630E-21	1.44E-23
657	6.29500E-21	1.06E-23
658	5.91370E-21	6.88E-24
659	6.37790E-21	4.84E-24
660	5.76780E-21	8.10E-24
661	4.06580E-21	1.17E-23
662	3.28790E-21	8.37E-24
663	2.87570E-21	1.08E-23
664	2.81830E-21	1.36E-23
665	4.39000E-21	1.26E-23
666	5.95250E-21	1.38E-23
667	6.51250E-21	1.61E-23
668	8.01360E-21	1.77E-23
669	8.14730E-21	1.33E-23
670	9.47560E-21	1.20E-23
671	6.65920E-21	1.76E-23
672	7.40290E-21	1.71E-23
673	9.70770E-21	7.36E-24
674	9.24740E-21	8.78E-24
675	7.90610E-21	1.82E-23
676	7.96080E-21	1.82E-23
677	8.41530E-21	1.08E-23
678	5.36080E-21	1.93E-23
679	4.69960E-21	2.46E-23
680	4.74470E-21	2.69E-23
681	3.98930E-21	2.43E-23
682	3.40730E-21	1.62E-23
683	3.89540E-21	1.50E-23
684	3.29290E-21	1.68E-23
685	3.91210E-21	1.47E-23
686	4.40010E-21	1.37E-23
687	3.00430E-21	1.48E-23
688	2.08550E-21	1.62E-23
689	2.09740E-21	1.53E-23
690	2.10070E-21	1.42E-23
691	2.12630E-21	1.22E-23
692	2.00940E-21	9.67E-24
693	1.75040E-21	1.08E-23
694	1.65410E-21	1.23E-23
695	1.96710E-21	1.02E-23
696	2.28730E-21	6.49E-24
