Wvlgth Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance
.3960E+03 .4228E+00 .2859E+00 .5675E+00 .3153E+00 .2022E+00 .5175E+00
.3965E+03 .3079E+00 .2073E+00 .4124E+00 .2297E+00 .1470E+00 .3767E+00
.3970E+03 .2389E+00 .1602E+00 .3193E+00 .1782E+00 .1139E+00 .2921E+00
.3975E+03 .3534E+00 .2359E+00 .4713E+00 .2636E+00 .1681E+00 .4317E+00
.3980E+03 .4794E+00 .3186E+00 .6379E+00 .3576E+00 .2276E+00 .5852E+00
.3985E+03 .5671E+00 .3753E+00 .7530E+00 .4230E+00 .2687E+00 .6917E+00
.3990E+03 .6031E+00 .3975E+00 .7992E+00 .4498E+00 .2853E+00 .7352E+00
.3995E+03 .6225E+00 .4086E+00 .8232E+00 .4643E+00 .2940E+00 .7584E+00
.4000E+03 .6302E+00 .4119E+00 .8317E+00 .4701E+00 .2971E+00 .7672E+00
.4010E+03 .6583E+00 .4285E+00 .8670E+00 .4910E+00 .3106E+00 .8016E+00
.4020E+03 .6864E+00 .4432E+00 .9003E+00 .5120E+00 .3228E+00 .8347E+00
.4030E+03 .6628E+00 .4245E+00 .8660E+00 .4944E+00 .3107E+00 .8051E+00
.4040E+03 .6754E+00 .4290E+00 .8789E+00 .5038E+00 .3156E+00 .8194E+00
.4050E+03 .6607E+00 .4163E+00 .8563E+00 .4928E+00 .3077E+00 .8005E+00
.4060E+03 .6462E+00 .4039E+00 .8343E+00 .4820E+00 .3000E+00 .7819E+00
.4070E+03 .6364E+00 .3947E+00 .8186E+00 .4747E+00 .2946E+00 .7693E+00
.4080E+03 .6664E+00 .4099E+00 .8538E+00 .4971E+00 .3074E+00 .8045E+00
.4090E+03 .7137E+00 .4355E+00 .9108E+00 .5323E+00 .3282E+00 .8605E+00
.4100E+03 .6099E+00 .3693E+00 .7755E+00 .4549E+00 .2797E+00 .7346E+00
.4110E+03 .6845E+00 .4113E+00 .8673E+00 .5106E+00 .3130E+00 .8236E+00
.4120E+03 .7295E+00 .4350E+00 .9209E+00 .5441E+00 .3327E+00 .8768E+00
.4130E+03 .7016E+00 .4152E+00 .8825E+00 .5233E+00 .3190E+00 .8424E+00
.4140E+03 .6958E+00 .4086E+00 .8721E+00 .5190E+00 .3155E+00 .8345E+00
.4150E+03 .7220E+00 .4209E+00 .9018E+00 .5386E+00 .3266E+00 .8652E+00
.4160E+03 .7455E+00 .4314E+00 .9279E+00 .5561E+00 .3364E+00 .8924E+00
.4170E+03 .7289E+00 .4186E+00 .9041E+00 .5437E+00 .3280E+00 .8717E+00
.4180E+03 .6990E+00 .3984E+00 .8640E+00 .5214E+00 .3137E+00 .8351E+00
.4190E+03 .7293E+00 .4127E+00 .8984E+00 .5440E+00 .3265E+00 .8705E+00
.4200E+03 .6699E+00 .3763E+00 .8225E+00 .4997E+00 .2992E+00 .7989E+00
.4210E+03 .7627E+00 .4253E+00 .9333E+00 .5689E+00 .3398E+00 .9087E+00
.4220E+03 .7541E+00 .4175E+00 .9198E+00 .5625E+00 .3352E+00 .8977E+00
.4230E+03 .7320E+00 .4023E+00 .8898E+00 .5460E+00 .3246E+00 .8705E+00
.4240E+03 .7297E+00 .3981E+00 .8841E+00 .5442E+00 .3228E+00 .8670E+00
.4250E+03 .7537E+00 .4083E+00 .9104E+00 .5622E+00 .3327E+00 .8949E+00
.4260E+03 .7340E+00 .3949E+00 .8838E+00 .5475E+00 .3233E+00 .8708E+00
.4270E+03 .7107E+00 .3797E+00 .8531E+00 .5301E+00 .3124E+00 .8424E+00
.4280E+03 .7192E+00 .3816E+00 .8606E+00 .5364E+00 .3154E+00 .8518E+00
.4290E+03 .6673E+00 .3518E+00 .7963E+00 .4978E+00 .2922E+00 .7900E+00
.4300E+03 .5335E+00 .2794E+00 .6347E+00 .3979E+00 .2332E+00 .6311E+00
.4310E+03 .4854E+00 .2524E+00 .5757E+00 .3620E+00 .2117E+00 .5737E+00
.4320E+03 .8092E+00 .4179E+00 .9568E+00 .6035E+00 .3522E+00 .9557E+00
.4330E+03 .7545E+00 .3870E+00 .8895E+00 .5628E+00 .3278E+00 .8905E+00
.4340E+03 .6985E+00 .3559E+00 .8211E+00 .5210E+00 .3029E+00 .8238E+00
.4350E+03 .7677E+00 .3885E+00 .8999E+00 .5726E+00 .3323E+00 .9049E+00
.4360E+03 .8437E+00 .4242E+00 .9862E+00 .6293E+00 .3645E+00 .9938E+00
