Wavelength Global Beam Diffuse Ground
.4630E+03 .1622E+01 .1345E+01 .3145E+00 .1766E+00
.4640E+03 .1572E+01 .1305E+01 .3035E+00 .1780E+00
.4650E+03 .1553E+01 .1291E+01 .2981E+00 .1787E+00
.4660E+03 .1585E+01 .1319E+01 .3027E+00 .1792E+00
.4670E+03 .1514E+01 .1262E+01 .2873E+00 .1796E+00
.4680E+03 .1579E+01 .1318E+01 .2978E+00 .1796E+00
.4690E+03 .1586E+01 .1325E+01 .2971E+00 .1795E+00
.4700E+03 .1524E+01 .1275E+01 .2839E+00 .1808E+00
.4710E+03 .1550E+01 .1298E+01 .2872E+00 .1822E+00
.4720E+03 .1630E+01 .1366E+01 .3003E+00 .1832E+00
.4730E+03 .1567E+01 .1314E+01 .2869E+00 .1838E+00
.4740E+03 .1584E+01 .1330E+01 .2883E+00 .1843E+00
.4750E+03 .1636E+01 .1376E+01 .2959E+00 .1852E+00
.4760E+03 .1580E+01 .1330E+01 .2839E+00 .1861E+00
.4770E+03 .1589E+01 .1339E+01 .2837E+00 .1868E+00
.4780E+03 .1640E+01 .1384E+01 .2910E+00 .1872E+00
.4790E+03 .1608E+01 .1359E+01 .2836E+00 .1876E+00
.4800E+03 .1635E+01 .1382E+01 .2867E+00 .1887E+00
.4810E+03 .1634E+01 .1384E+01 .2848E+00 .1897E+00
.4820E+03 .1640E+01 .1390E+01 .2843E+00 .1904E+00
.4830E+03 .1620E+01 .1374E+01 .2793E+00 .1908E+00
.4840E+03 .1589E+01 .1349E+01 .2725E+00 .1912E+00
.4850E+03 .1584E+01 .1346E+01 .2701E+00 .1917E+00
.4860E+03 .1284E+01 .1092E+01 .2178E+00 .1921E+00
.4870E+03 .1438E+01 .1224E+01 .2425E+00 .1926E+00
.4880E+03 .1556E+01 .1325E+01 .2609E+00 .1931E+00
.4890E+03 .1466E+01 .1249E+01 .2442E+00 .1937E+00
.4900E+03 .1638E+01 .1397E+01 .2714E+00 .1947E+00
.4910E+03 .1574E+01 .1344E+01 .2594E+00 .1957E+00
.4920E+03 .1501E+01 .1282E+01 .2458E+00 .1963E+00
.4930E+03 .1605E+01 .1372E+01 .2614E+00 .1968E+00
.4940E+03 .1566E+01 .1340E+01 .2537E+00 .1974E+00
.4950E+03 .1663E+01 .1424E+01 .2678E+00 .1984E+00
.4960E+03 .1581E+01 .1355E+01 .2532E+00 .1993E+00
.4970E+03 .1608E+01 .1379E+01 .2560E+00 .2003E+00
.4980E+03 .1564E+01 .1342E+01 .2475E+00 .2012E+00
.4990E+03 .1564E+01 .1343E+01 .2459E+00 .2020E+00
.5000E+03 .1558E+01 .1339E+01 .2434E+00 .2024E+00
.5010E+03 .1512E+01 .1299E+01 .2362E+00 .2029E+00
.5020E+03 .1511E+01 .1299E+01 .2344E+00 .2034E+00
.5030E+03 .1580E+01 .1360E+01 .2436E+00 .2039E+00
.5040E+03 .1472E+01 .1268E+01 .2253E+00 .2046E+00
.5050E+03 .1578E+01 .1360E+01 .2405E+00 .2056E+00
.5060E+03 .1641E+01 .1415E+01 .2488E+00 .2066E+00
.5070E+03 .1570E+01 .1355E+01 .2368E+00 .2070E+00
.5080E+03 .1530E+01 .1321E+01 .2297E+00 .2074E+00
.5090E+03 .1604E+01 .1385E+01 .2397E+00 .2081E+00
.5100E+03 .1562E+01 .1350E+01 .2324E+00 .2091E+00
.5110E+03 .1591E+01 .1375E+01 .2356E+00 .2100E+00
.5120E+03 .1633E+01 .1412E+01 .2406E+00 .2105E+00
.5130E+03 .1534E+01 .1328E+01 .2248E+00 .2109E+00
.5140E+03 .1501E+01 .1300E+01 .2189E+00 .2117E+00
.5150E+03 .1545E+01 .1338E+01 .2240E+00 .2127E+00
.5160E+03 .1559E+01 .1351E+01 .2249E+00 .2137E+00
.5170E+03 .1270E+01 .1102E+01 .1824E+00 .2146E+00
.5180E+03 .1453E+01 .1261E+01 .2075E+00 .2156E+00
.5190E+03 .1408E+01 .1222E+01 .2000E+00 .2162E+00
.5200E+03 .1536E+01 .1335E+01 .2172E+00 .2166E+00
